X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit
113.83,54.52,6072,19350.93,4.61,9268.58,4.19,0,0,866.57,16.10,384.74,3.31,190.50,4.02,173.17,3.64,1,6389.75,30.42,0.95,4
113.35,54.32,6073,19269.54,10.23,9234.20,6.59,0,0,594.64,17.11,375.49,4.35,273.77,8.99,176.41,5.78,1,7258.12,18.72,0.88,4
111.65,54.21,6074,18980.44,14.53,9215.46,18.81,0,0,177.53,13.61,362.46,2.51,144.03,12.24,187.83,16.33,1,779.62,6.92,0.54,5
40.47,97.93,6075,6880.57,4.60,16647.33,4.52,0,0,764.35,16.55,439.14,2.99,162.45,3.94,160.53,3.97,1,4751.02,25.79,0.94,5
70.28,119.26,6075,11948.39,4.97,20273.72,4.67,0,0,650.64,15.93,417.97,2.67,155.42,4.29,146.07,4.04,1,4175.58,24.72,0.92,5
111.52,54.18,6075,18958.25,4.21,9210.89,4.73,0,0,662.38,15.79,371.43,2.46,128.97,3.24,151.20,4.14,1,2749.83,23.43,0.92,5
69.96,119.30,6076,11892.92,3.67,20281.56,3.39,0,0,979.63,17.93,422.80,2.94,154.64,3.25,141.36,2.88,1,6241.12,28.29,0.95,5
78.97,114.99,6076,13425.20,13.13,19548.99,12.47,0,0,230.38,12.53,396.38,2.56,185.48,11.45,176.15,10.89,1,2523.92,7.58,0.69,5
111.51,54.26,6076,18956.83,5.02,9224.19,5.79,0,0,567.62,16.05,378.02,2.56,130.20,3.89,155.73,5.00,1,3644.10,28.06,0.90,5
69.82,119.42,6077,11869.47,4.11,20301.87,4.11,0,0,822.14,17.32,422.34,2.87,149.68,3.61,148.36,3.45,1,5147.12,25.80,0.94,5
111.53,54.11,6077,18960.11,5.66,9198.39,6.14,0,0,579.21,17.18,383.45,2.90,144.26,4.68,158.55,5.38,1,4042.50,18.63,0.89,5
119.56,190.51,6077,20325.06,16.03,32386.70,14.76,0,0,160.88,11.92,382.62,2.11,165.11,13.76,151.34,12.42,1,2082.75,6.72,0.56,5
69.84,119.45,6078,11873.64,7.79,20306.93,8.45,0,0,324.88,14.62,405.91,2.23,134.49,7.10,142.00,6.93,1,1145.12,12.34,0.78,4
111.48,54.23,6078,18952.26,4.08,9219.20,3.98,0,0,743.35,16.12,372.19,2.52,141.50,3.33,140.29,3.47,1,3244.60,23.41,0.94,5
111.50,54.14,6079,18954.20,4.43,9203.82,4.48,0,0,661.16,16.55,376.24,2.46,130.42,3.44,138.13,4.05,1,3520.69,22.59,0.92,5
111.47,54.18,6080,18950.37,3.97,9210.56,4.37,0,0,696.91,15.82,371.35,2.41,126.96,3.02,147.04,3.84,1,3715.56,27.56,0.93,5
149.20,132.71,6080,25364.56,4.58,22561.35,5.17,0,0,759.10,16.54,382.18,3.19,161.42,3.99,182.13,4.49,1,5622.42,23.58,0.93,4
111.45,54.25,6081,18945.90,5.00,9222.53,5.97,0,0,558.29,15.25,369.42,2.58,136.84,4.03,166.71,5.17,1,3395.06,23.92,0.90,4
149.32,133.49,6081,25384.64,3.55,22692.70,3.85,0,0,762.68,12.80,377.85,2.43,162.17,3.07,175.81,3.33,1,5270.46,28.10,0.96,4
148.80,134.87,6082,25295.83,5.62,22927.30,4.75,0,0,606.69,12.91,380.27,2.73,202.90,4.90,171.65,4.16,1,6251.08,18.05,0.93,4
147.66,135.47,6083,25102.97,6.50,23029.98,6.14,0,0,520.78,13.41,372.92,2.87,193.94,5.67,183.29,5.35,1,5503.75,17.16,0.91,4
66.81,99.82,6085,11357.70,12.70,16969.07,10.12,0,0,375.89,18.92,440.66,3.68,193.84,11.05,154.66,8.88,1,4242.23,11.80,0.72,4
18.41,99.06,6087,3128.98,18.95,16840.03,20.47,0,0,152.49,10.16,440.84,2.70,219.23,16.68,236.72,18.01,0,1421.85,5.29,0.57,4
137.70,187.41,6087,23408.17,8.43,31859.52,8.32,0,0,340.87,14.36,364.35,2.42,152.55,7.23,150.04,7.01,1,2979.67,13.68,0.80,5
138.82,124.53,6087,23600.04,3.10,21170.31,3.49,0,0,922.09,16.99,366.65,2.57,130.97,2.82,143.25,2.86,1,4135.81,33.17,0.95,5
137.55,187.56,6088,23383.59,10.82,31885.76,9.63,0,0,244.50,11.87,359.53,2.13,170.37,9.32,150.97,8.12,1,1785.94,8.65,0.74,4
25.29,97.53,6089,4300.06,7.30,16580.93,7.09,0,0,364.03,13.77,453.66,2.20,146.58,6.24,140.63,5.78,1,1883.96,9.65,0.83,5
117.41,65.36,6089,19959.39,2.98,11111.75,3.10,0,0,1179.60,19.46,387.68,2.99,134.00,2.39,141.17,2.57,1,6569.50,44.15,0.96,5
117.45,65.34,6090,19966.01,3.11,11108.06,3.26,0,0,1222.85,21.28,385.17,3.23,131.05,2.43,141.13,2.73,1,6315.48,53.01,0.96,5
84.51,154.42,6091,14367.48,11.15,26250.71,11.42,0,0,299.12,19.31,424.50,2.57,105.62,7.09,125.66,8.71,1,2118.38,11.58,0.65,5
117.47,65.40,6091,19969.68,3.83,11118.78,4.02,0,0,1070.48,22.37,382.57,3.51,136.18,3.06,144.70,3.34,1,5791.48,40.67,0.94,5
117.46,65.39,6092,19968.73,2.72,11116.60,2.81,0,0,1122.45,16.72,385.12,2.59,135.43,2.17,141.41,2.32,1,6051.15,39.01,0.97,5
117.48,65.42,6093,19970.98,3.15,11120.82,3.07,0,0,1211.51,20.86,388.30,3.10,134.76,2.50,130.63,2.41,1,6674.38,52.13,0.96,5
144.61,241.41,6093,24583.95,3.22,41039.51,3.62,0,0,1083.51,19.26,361.25,3.11,135.25,2.61,154.70,3.07,1,6514.31,55.49,0.96,5
117.47,65.34,6094,19969.44,4.90,11107.21,4.91,0,0,578.02,16.22,372.92,2.31,124.65,3.66,128.99,3.97,1,2253.56,19.55,0.90,5
121.38,224.87,6094,20634.38,9.04,38227.90,8.80,0,0,313.01,14.23,375.26,2.38,151.66,7.66,149.21,7.81,1,2926.08,13.15,0.77,5
19.22,242.29,6096,3266.77,3.03,41189.70,3.20,0,0,1409.15,22.59,457.08,3.74,145.39,2.65,152.62,2.75,1,8104.19,51.84,0.96,5
116.73,100.33,6096,19843.76,17.58,17055.36,10.87,0,0,183.45,12.27,366.72,2.13,200.22,15.22,118.81,8.62,1,1780.73,6.15,0.61,5
125.36,116.49,6096,21310.78,9.32,19802.71,11.54,0,0,239.18,12.71,354.06,2.09,130.54,7.52,165.16,9.88,1,946.44,9.89,0.72,5
10.37,37.80,6097,1762.31,16.28,6425.75,17.97,0,0,201.87,15.46,447.35,2.98,162.76,14.03,179.95,15.62,1,2334.92,7.22,0.53,4
25.02,226.54,6097,4252.86,12.71,38510.98,14.08,0,0,246.58,14.62,420.17,2.85,164.81,11.16,182.22,12.22,1,522.15,8.32,0.65,4
55.53,242.86,6097,9440.22,11.59,41286.39,10.26,0,0,267.72,13.78,394.19,2.51,172.80,10.01,153.52,9.05,1,980.00,9.20,0.72,5
119.04,99.57,6097,20236.20,10.85,16926.60,10.72,0,0,351.88,19.64,380.77,3.23,149.96,9.71,145.68,8.91,1,2989.02,16.06,0.71,5
47.04,188.38,6098,7996.39,10.99,32024.58,11.41,0,0,288.83,15.10,438.87,2.78,161.66,9.66,167.36,9.85,1,3604.56,10.99,0.71,5
60.80,243.74,6098,10335.97,8.66,41436.32,12.26,0,0,434.79,15.53,407.31,4.00,186.84,7.62,264.42,10.77,1,6497.54,17.59,0.82,4
155.56,177.08,6098,26445.07,6.93,30103.71,9.20,0,0,359.70,12.97,354.64,2.46,145.54,5.77,195.23,7.99,1,2927.65,13.00,0.84,5
101.09,53.07,6099,17184.79,3.68,9021.79,3.54,0,0,808.51,16.03,380.98,2.50,144.71,3.32,139.96,3.26,1,4605.08,21.88,0.95,4
155.06,177.04,6099,26359.48,4.49,30096.24,6.03,0,0,527.82,10.36,354.62,2.42,175.92,3.94,236.05,5.27,1,5813.92,20.78,0.94,4
43.68,248.56,6100,7426.36,3.49,42254.75,3.73,0,0,1523.28,29.28,464.75,4.62,137.25,2.93,146.48,3.10,1,0.00,0.00,0.95,5
101.12,53.13,6100,17189.86,1.89,9031.75,1.93,0,0,3209.11,32.45,423.91,5.24,144.93,1.69,147.58,1.71,1,18560.81,96.28,0.99,5
155.07,175.34,6100,26361.17,5.34,29807.83,5.98,0,0,489.32,12.48,363.37,2.39,161.17,4.70,179.95,5.19,1,3548.12,19.26,0.91,4
101.31,53.41,6101,17222.28,10.47,9080.12,11.25,0,0,286.10,13.97,385.04,2.67,164.28,9.06,176.51,9.74,1,1353.12,10.24,0.74,5
129.37,155.48,6102,21992.44,13.09,26431.39,12.59,0,0,221.63,15.73,380.87,2.35,137.63,10.75,128.99,9.67,1,1671.25,9.86,0.60,5
141.25,136.28,6102,24013.18,3.14,23166.87,3.15,0,0,851.60,12.74,374.81,2.30,161.06,2.72,161.57,2.73,1,6223.35,32.33,0.97,4
97.48,125.71,6104,16571.11,10.66,21371.10,11.77,0,0,255.43,14.16,379.69,2.43,145.38,8.83,162.13,10.16,1,1573.52,8.27,0.69,5
37.43,221.68,6106,6363.42,9.59,37685.88,10.91,0,0,262.97,11.75,425.56,2.32,164.43,8.26,187.28,9.48,1,1874.88,8.51,0.77,4
49.39,170.82,6109,8395.78,9.77,29039.75,9.65,0,0,395.65,13.17,436.77,3.45,226.14,8.59,223.27,8.48,0,5838.98,16.54,0.84,3
4.55,26.70,6110,773.90,10.59,4539.77,11.16,0,0,249.08,13.49,430.26,2.30,148.32,8.86,157.40,9.61,1,0.00,0.00,0.71,5
107.87,69.65,6111,18337.07,17.96,11841.06,25.61,0,0,168.19,10.44,383.37,3.27,224.38,15.95,314.04,23.61,0,1744.38,3.59,0.58,5
110.85,76.53,6111,18843.71,18.87,13009.71,18.63,0,0,176.09,12.87,393.38,2.90,198.49,16.49,195.99,16.27,0,1318.38,4.04,0.54,4
43.40,200.20,6112,7378.34,8.61,34033.44,10.36,0,0,340.82,13.60,433.97,2.79,165.46,7.44,199.18,9.02,1,3164.92,11.44,0.81,5
119.87,57.59,6112,20378.62,18.70,9789.86,17.05,0,0,209.68,13.21,370.25,3.34,228.58,16.42,208.37,14.97,0,3424.67,6.14,0.60,3
156.45,181.50,6112,26595.87,8.26,30854.31,11.26,0,0,297.24,10.77,358.39,2.53,175.21,7.20,238.89,9.85,1,2925.42,10.38,0.82,4
131.67,61.48,6113,22384.13,10.90,10451.26,8.72,0,0,305.66,11.92,357.04,2.61,214.81,9.51,171.57,7.56,1,2317.71,12.84,0.81,4
154.86,175.65,6113,26326.27,4.91,29860.53,6.60,0,0,602.85,14.49,362.40,2.99,157.33,4.33,211.05,5.75,1,5945.40,32.01,0.92,5
43.34,203.39,6114,7367.21,11.85,34576.89,13.19,0,0,259.38,14.10,435.68,2.80,167.13,10.26,186.11,11.46,1,2924.92,9.09,0.69,4
65.09,226.99,6114,11064.98,4.25,38587.75,4.19,0,0,900.07,17.65,419.03,3.27,166.81,3.72,164.54,3.68,1,6729.33,24.57,0.95,5
134.64,61.24,6114,22888.57,7.97,10411.29,7.66,0,0,373.35,14.13,358.91,2.49,161.09,6.85,155.03,6.64,1,2574.83,12.09,0.83,4
155.56,178.80,6114,26444.75,11.09,30395.27,13.23,0,0,214.36,11.01,354.67,2.25,165.34,9.56,197.67,11.52,1,2577.54,9.02,0.71,4
18.18,59.73,6115,3090.61,36.55,10154.73,27.23,0,0,98.86,9.34,456.52,2.85,297.93,32.76,222.98,24.17,0,911.73,3.39,0.37,4
43.54,203.20,6115,7401.46,10.45,34544.50,9.87,0,0,338.51,14.30,438.18,2.99,189.90,9.09,179.56,8.61,1,3386.48,10.52,0.79,5
97.08,169.49,6115,16503.36,9.15,28813.34,11.41,0,0,254.20,12.73,393.51,2.24,142.29,8.35,175.22,9.86,1,1304.65,9.27,0.74,5
112.57,64.00,6115,19137.68,12.65,10879.84,15.85,0,0,171.23,8.51,364.14,2.16,195.96,11.10,245.58,13.92,0,1849.67,6.94,0.71,4
43.54,203.18,6116,7401.63,8.23,34541.10,9.03,0,0,369.44,16.00,439.75,2.70,143.35,6.78,159.55,7.87,1,2832.69,8.62,0.79,4
55.32,183.47,6116,9404.44,30.87,31190.13,19.49,0,0,120.90,8.71,397.77,2.72,330.24,27.77,209.66,17.33,0,-1003.79,3.95,0.50,4
62.00,195.45,6116,10539.16,33.82,33226.81,15.78,0,0,110.75,7.94,412.81,2.28,359.27,31.02,170.25,13.86,1,782.79,3.38,0.52,4
106.69,48.59,6117,18137.73,12.80,8260.06,10.28,0,0,275.71,13.03,381.33,2.75,207.87,11.15,166.74,8.89,1,3690.48,15.30,0.74,4
14.45,167.62,6118,2455.67,19.81,28496.16,18.76,0,0,161.65,10.63,438.32,2.80,232.18,17.42,219.95,16.51,0,2194.94,5.90,0.57,4
16.78,168.39,6119,2852.81,13.35,28626.44,14.18,0,0,190.44,9.94,441.10,2.31,196.62,11.68,208.76,12.40,0,577.96,6.95,0.69,4
92.01,251.43,6121,15642.10,10.82,42743.88,11.18,0,0,265.59,10.84,375.62,2.59,203.89,9.48,210.71,9.79,0,0.00,0.00,0.79,4
24.43,162.53,6122,4152.81,18.66,27630.65,14.75,0,0,180.65,10.87,440.25,2.66,238.66,16.35,188.68,12.92,1,2267.65,5.73,0.62,3
72.59,154.25,6122,12339.87,8.17,26222.12,8.95,0,0,359.35,14.34,417.12,2.63,156.20,6.96,171.73,7.76,1,2828.21,12.29,0.81,5
17.06,163.22,6123,2899.68,21.37,27748.02,16.74,0,0,154.04,8.99,435.98,2.66,282.66,18.97,221.67,14.83,0,239.88,4.33,0.61,4
15.65,165.48,6124,2660.62,16.24,28130.90,15.52,0,0,184.08,14.36,448.18,2.49,158.83,13.93,151.18,13.06,1,1458.42,6.28,0.53,4
90.86,93.32,6124,15446.92,4.41,15864.31,4.98,0,0,666.10,19.59,404.60,2.65,120.70,4.31,128.53,4.09,1,2983.12,25.40,0.90,5
107.79,210.50,6128,18323.71,10.01,35784.75,9.35,0,0,307.59,14.48,390.81,2.54,162.78,8.70,150.86,7.86,1,2280.62,14.23,0.76,4
107.73,210.59,6129,18314.66,11.04,35799.85,11.58,0,0,255.02,14.52,381.10,2.45,148.27,9.52,155.14,9.84,1,1430.02,8.12,0.69,5
137.65,165.87,6133,23400.10,10.52,28197.69,7.19,0,0,358.56,11.11,356.52,2.78,261.40,9.23,178.85,6.33,1,4319.31,12.36,0.86,4
11.16,154.58,6134,1896.51,7.54,26277.85,7.60,0,0,464.69,13.96,459.57,3.08,192.85,6.58,194.48,6.63,0,3976.67,14.48,0.88,4
45.91,103.43,6134,7804.97,7.50,17583.70,7.36,0,0,452.33,17.24,444.76,2.86,151.54,6.66,146.55,6.14,1,2708.33,15.16,0.83,5
140.20,171.43,6134,23833.17,10.09,29142.91,7.81,0,0,312.92,13.02,349.96,2.37,185.41,8.76,141.61,6.44,1,1778.35,11.54,0.80,4
140.12,171.74,6136,23820.89,10.96,29196.41,13.48,0,0,225.63,10.07,347.84,2.43,188.98,9.61,232.43,11.81,1,2013.00,8.23,0.75,4
53.45,146.85,6137,9086.47,13.68,24965.16,16.51,0,0,201.71,9.98,420.46,2.74,213.46,12.07,257.39,14.55,0,1533.35,6.66,0.70,3
134.98,121.04,6138,22947.27,12.40,20576.65,12.91,0,0,234.90,8.42,350.89,2.76,268.19,11.07,279.01,11.54,0,3157.75,9.04,0.79,2
48.22,73.46,6143,8197.88,12.54,12488.10,31.12,0,0,151.06,5.23,429.71,2.52,287.19,11.52,584.65,35.77,1,4037.25,5.48,0.74,5
91.35,33.15,6144,15529.33,6.93,5636.12,7.15,0,0,396.09,14.61,379.89,2.37,142.72,5.81,149.03,6.31,1,2776.33,10.57,0.84,5
8.64,25.68,6145,1468.24,14.84,4365.44,24.94,0,0,347.39,17.64,439.51,6.18,227.74,13.30,376.08,23.24,1,5939.81,17.20,0.64,4
35.43,101.26,6146,6023.34,15.68,17214.41,13.63,0,0,244.79,16.33,453.76,3.08,180.30,13.59,156.76,11.82,1,2484.21,4.83,0.60,4
51.01,190.45,6146,8671.73,4.25,32376.66,4.19,0,0,1023.14,22.21,449.61,3.67,151.13,3.80,146.44,3.48,1,5890.35,42.78,0.94,5
5.31,34.87,6149,903.53,19.72,5927.91,14.67,0,0,275.83,14.25,457.84,4.27,293.82,17.70,219.77,13.01,0,0.00,0.00,0.67,5
85.51,18.03,6149,14537.16,5.00,3065.25,5.21,0,0,546.21,15.42,379.97,2.34,130.48,3.88,142.73,4.75,1,1439.90,18.29,0.90,5
137.81,102.37,6150,23428.42,6.29,17402.47,5.40,0,0,521.75,13.23,355.86,2.63,190.33,5.47,163.20,4.66,1,3715.46,17.73,0.91,4
139.10,94.27,6151,23646.46,10.58,16025.27,9.49,0,0,294.00,11.05,357.51,2.60,216.37,9.26,194.04,8.30,0,3373.73,10.72,0.81,4
197.49,114.29,6151,33574.14,10.17,19428.55,13.28,0,0,244.88,12.89,362.52,2.44,146.39,8.47,193.07,11.53,1,2732.60,8.14,0.71,5
7.11,221.48,6153,1208.83,15.98,37652.37,12.91,0,0,241.75,15.03,434.28,3.00,197.03,13.90,158.65,11.04,1,354.00,9.07,0.64,5
16.46,221.26,6154,2798.35,13.97,37614.50,16.90,0,0,190.29,12.49,444.36,2.53,162.97,12.02,197.63,14.71,1,1662.67,7.87,0.60,4
28.72,110.98,6154,4882.73,3.53,18867.23,3.47,0,0,1144.49,22.18,467.18,3.41,139.53,3.01,140.16,3.21,1,6743.81,29.69,0.95,5
95.16,182.50,6155,16177.55,10.75,31024.51,9.48,0,0,325.14,13.76,400.65,2.85,195.04,9.37,171.85,8.21,1,2860.40,12.63,0.79,5
130.32,85.57,6155,22154.20,25.90,14546.63,13.68,0,0,225.35,16.02,378.60,3.71,279.40,22.67,146.33,11.51,1,3949.94,7.19,0.55,4
138.83,86.53,6158,23600.76,19.16,14709.97,11.13,0,0,255.80,12.75,366.13,3.33,295.85,16.93,171.98,9.74,1,3855.73,10.12,0.70,5
10.61,238.06,6159,1803.38,10.89,40469.52,12.09,0,0,287.18,13.46,431.33,2.87,178.35,9.47,198.05,10.54,1,299.73,11.23,0.75,5
13.01,242.92,6160,2211.82,35.08,41296.93,31.69,0,0,235.03,21.33,499.31,7.34,299.49,31.58,271.18,28.38,0,7890.06,7.96,0.36,3
13.30,240.78,6161,2260.83,6.26,40932.43,6.01,0,0,650.71,14.42,457.49,3.55,217.31,5.48,208.64,5.27,0,8133.21,18.50,0.92,4
14.82,241.18,6162,2519.23,4.66,41000.45,5.22,0,0,748.13,13.93,458.70,3.26,192.39,4.08,215.60,4.57,0,8385.29,25.71,0.95,4
118.00,90.58,6165,20060.81,7.48,15398.09,8.04,0,0,836.84,28.24,420.40,5.62,170.42,6.55,182.83,6.98,1,8246.44,27.80,0.85,5
117.24,85.68,6166,19931.53,33.34,14565.24,20.52,0,0,433.65,31.03,403.01,10.47,357.94,30.63,223.09,18.35,1,10008.35,26.59,0.49,5
116.76,96.18,6168,19849.03,5.20,16350.02,5.83,0,0,518.93,14.19,382.32,2.44,146.03,4.52,163.52,5.07,1,3935.06,15.65,0.90,5
121.28,84.60,6168,20617.05,19.07,14382.10,13.66,0,0,181.99,10.79,373.71,2.60,247.32,16.70,177.06,11.93,1,2255.27,7.42,0.63,3
35.26,173.47,6169,5994.42,14.66,29489.10,9.69,0,0,249.71,13.39,427.81,2.53,208.64,12.73,134.42,7.72,1,742.75,9.50,0.70,4
117.54,79.37,6169,19981.77,5.16,13492.25,4.92,0,0,824.98,22.95,403.70,3.45,138.01,4.16,130.97,3.95,1,6907.85,29.76,0.90,5
117.58,79.36,6170,19989.09,2.36,13491.82,2.31,0,0,1919.90,24.91,402.19,3.72,135.11,1.90,131.97,1.86,1,9700.98,70.31,0.98,5
117.60,79.34,6171,19992.66,2.73,13487.30,2.56,0,0,1488.40,21.04,402.81,3.31,146.08,2.28,136.46,2.13,1,9153.62,51.22,0.97,5
38.57,224.73,6173,6556.22,12.02,38203.90,12.68,0,0,300.51,13.25,447.82,3.31,209.88,10.55,221.31,11.12,0,3654.77,8.11,0.75,4
122.41,226.86,6173,20810.27,17.09,38566.79,13.61,0,0,214.68,14.67,373.62,2.83,192.12,14.85,153.49,12.03,1,1914.15,7.71,0.59,5
14.41,18.87,6175,2449.52,11.69,3208.70,15.47,0,0,210.36,11.88,428.45,2.45,158.24,10.03,210.09,13.47,1,2361.98,7.71,0.67,5
11.85,20.66,6176,2014.03,8.21,3512.19,9.43,0,0,489.57,15.38,449.31,3.84,201.37,7.21,231.18,8.27,0,6465.15,16.95,0.86,4
30.43,137.57,6176,5173.79,18.04,23386.34,14.75,0,0,183.05,13.26,444.69,2.57,190.84,15.67,155.44,12.57,1,1491.42,6.06,0.56,4
41.88,200.84,6176,7120.40,10.25,34142.03,15.11,0,0,238.98,9.17,437.08,2.70,206.47,9.07,302.97,13.54,0,3110.94,8.13,0.79,4
5.83,28.82,6177,991.53,11.31,4899.14,8.91,0,0,291.50,11.68,437.83,2.56,217.00,9.87,170.99,7.80,1,0.00,0.00,0.80,4
37.85,212.31,6177,6433.97,15.63,36093.44,14.21,0,0,185.28,9.77,430.61,2.46,228.35,13.72,207.53,12.47,0,1740.98,5.83,0.68,4
137.55,163.08,6178,23383.94,4.92,27724.35,5.21,0,0,563.24,14.92,357.30,2.41,139.53,4.00,151.18,4.63,1,2533.85,18.40,0.91,5
219.46,5.76,6179,37307.37,6.19,979.37,5.80,0,0,523.82,17.84,379.74,2.62,135.17,4.93,129.80,5.04,1,0.00,0.00,0.86,5
26.05,228.59,6181,4428.38,25.74,38860.12,27.33,0,0,140.05,11.56,433.81,3.40,240.87,22.78,255.81,24.18,0,2573.92,5.49,0.44,4
30.90,59.64,6181,5252.71,37.23,10138.58,22.57,0,0,104.52,8.13,445.41,2.79,364.83,34.68,225.87,20.20,1,768.79,3.97,0.45,5
131.87,163.34,6183,22417.43,14.45,27768.40,15.71,0,0,176.00,10.86,361.45,2.31,179.84,12.62,195.48,13.69,1,2135.42,7.82,0.63,5
9.56,145.13,6186,1625.19,8.38,24671.30,8.14,0,0,415.21,19.50,476.78,2.88,132.76,6.62,134.88,7.50,1,1498.44,11.58,0.77,5
60.39,187.75,6186,10266.40,12.10,31916.91,13.79,0,0,242.79,12.49,409.18,2.75,180.72,10.54,206.06,12.04,1,1783.33,8.60,0.71,4
57.23,198.83,6188,9729.91,5.86,33801.70,6.83,0,0,521.13,15.00,429.82,2.84,156.33,5.10,182.22,5.94,1,4433.52,17.96,0.89,4
57.71,198.38,6189,9810.35,20.47,33725.17,29.29,0,0,166.02,11.43,413.76,3.77,230.75,18.27,328.51,26.40,0,2075.85,5.24,0.51,4
85.09,102.22,6189,14465.89,8.49,17376.67,9.14,0,0,375.67,13.37,396.83,2.89,183.32,7.42,197.27,7.97,1,3304.31,15.71,0.84,5
56.64,116.37,6190,9629.29,25.70,19782.59,20.74,0,0,169.53,8.26,410.10,3.70,398.35,25.17,334.83,19.17,1,3932.94,8.42,0.59,4
85.37,102.27,6190,14513.41,5.77,17386.64,6.15,0,0,545.47,16.46,395.38,2.76,145.08,4.84,155.60,5.30,1,3049.75,21.55,0.88,5
55.42,119.42,6191,9421.27,12.34,20301.31,15.69,0,0,320.78,13.08,438.70,4.13,234.42,10.97,297.68,13.98,0,6152.17,11.48,0.75,4
123.77,36.45,6191,21040.36,9.94,6195.95,10.05,0,0,255.54,10.83,333.04,2.22,180.12,8.66,182.05,8.74,1,1391.29,10.50,0.78,4
149.67,197.46,6193,25444.33,3.64,33567.41,3.74,0,0,712.74,14.08,351.56,2.20,138.85,3.04,142.11,3.06,1,4766.77,28.13,0.95,5
122.29,37.60,6194,20789.43,10.20,6391.95,8.77,0,0,273.62,11.79,336.30,2.22,181.43,8.86,155.32,7.48,1,1357.17,10.14,0.78,4
149.67,197.38,6194,25443.09,6.56,33554.06,6.45,0,0,409.88,14.54,347.69,2.23,139.40,5.48,136.07,5.26,1,2052.06,16.12,0.85,5
23.23,55.29,6198,3948.89,20.51,9399.81,16.68,0,0,164.45,11.95,457.77,2.67,216.96,17.91,176.43,14.55,1,1936.35,7.58,0.55,5
143.42,220.44,6198,24380.68,16.87,37475.60,20.30,0,0,172.81,11.83,354.79,2.83,189.56,14.76,228.17,17.77,1,2656.31,11.98,0.57,5
149.25,210.26,6203,25371.99,11.35,35743.56,10.72,0,0,230.28,10.89,343.57,2.20,184.34,9.88,174.13,9.33,1,1886.98,8.44,0.74,4
33.44,218.35,6205,5685.40,12.46,37119.77,10.66,0,0,286.03,11.74,440.53,2.94,233.64,10.93,199.99,9.36,0,2333.98,4.44,0.78,4
39.23,215.00,6205,6669.07,12.34,36549.39,18.00,0,0,261.61,18.12,442.41,3.35,137.04,10.82,199.60,15.63,1,673.27,4.23,0.59,4
237.35,56.71,6206,40349.53,11.08,9640.97,11.80,0,0,230.92,14.41,376.74,2.21,132.96,9.05,143.73,10.07,1,2482.02,7.57,0.65,5
18.36,200.28,6207,3120.92,15.04,34048.04,13.04,0,0,216.46,15.14,452.51,2.58,164.47,12.94,142.25,11.16,1,568.00,8.25,0.59,5
47.90,206.94,6207,8143.82,10.38,35178.98,14.52,0,0,252.54,10.54,422.83,2.78,191.78,9.14,267.95,12.80,0,1400.27,6.42,0.77,4
55.36,209.28,6207,9411.12,12.24,35577.00,12.29,0,0,230.66,12.86,417.46,2.44,168.29,10.58,169.03,10.66,1,1004.31,6.61,0.68,4
77.12,30.82,6208,13110.09,17.94,5238.68,14.21,0,0,249.50,13.86,395.51,3.56,248.64,15.76,197.06,12.49,0,3107.06,9.09,0.65,4
162.46,228.46,6208,27617.72,8.55,38839.00,9.83,0,0,284.35,11.85,354.14,2.24,156.56,7.28,180.63,8.51,1,2645.23,10.21,0.79,4
20.79,209.41,6209,3534.13,13.20,35599.30,14.67,0,0,227.42,12.36,451.40,2.78,186.77,11.54,207.54,12.82,1,1184.50,3.59,0.68,4
22.62,203.17,6209,3845.48,18.65,34539.69,17.51,0,0,218.15,13.82,466.96,3.52,226.77,16.38,212.93,15.38,0,2707.21,3.51,0.59,3
25.83,198.55,6209,4391.91,30.85,33752.87,27.41,0,0,173.76,21.32,467.96,4.39,193.01,26.87,171.34,23.74,1,2051.90,5.12,0.31,5
161.61,227.44,6209,27474.27,9.46,38665.38,10.61,0,0,268.04,15.20,351.57,2.18,116.74,6.98,138.47,8.57,1,1705.31,12.53,0.69,5
24.66,208.21,6211,4192.39,13.45,35395.67,24.70,0,0,156.88,8.17,435.25,2.60,200.69,11.98,363.18,22.72,1,579.08,5.12,0.65,4
123.78,184.99,6212,21043.45,5.18,31448.83,5.34,0,0,568.13,14.57,374.75,2.56,155.31,4.51,160.42,4.70,1,3589.62,18.31,0.91,5
228.15,21.24,6213,38785.85,14.79,3610.28,12.23,0,0,172.97,8.67,347.40,2.06,227.01,12.94,187.77,10.71,1,1392.08,5.19,0.71,4
30.87,241.48,6215,5247.19,16.48,41051.68,13.56,0,0,198.16,12.86,421.95,2.56,194.70,14.34,159.69,11.61,1,1010.12,6.99,0.61,4
40.03,79.65,6218,6804.26,15.44,13541.08,10.64,0,0,235.20,13.84,439.05,2.58,200.70,13.40,136.52,8.83,1,1179.04,7.65,0.66,5
227.47,193.78,6220,38670.63,7.87,32941.87,8.43,0,0,366.91,15.42,356.70,2.52,140.79,6.42,153.19,7.32,1,1573.48,12.01,0.80,5
