 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit
1,7.74,247.34,1,1316.13,4.98,42047.52,5.36,0,0,475.20,11.96,354.16,2.10,151.47,4.31,163.06,4.62,1,3058.62,21.07,0.92,4
2,10.43,213.75,1,1773.94,6.98,36337.79,7.09,0,0,375.14,11.91,361.43,2.27,168.38,6.02,171.11,6.16,1,2546.54,10.76,0.87,4
3,13.52,102.83,1,2299.18,3.72,17481.62,3.68,0,0,806.77,14.43,371.70,2.55,159.00,3.18,157.91,3.22,1,5185.50,27.87,0.96,4
4,18.68,5.81,1,3174.89,3.69,988.51,3.64,0,0,855.06,14.78,360.73,2.69,163.75,3.19,161.62,3.17,1,0.00,0.00,0.96,4
5,20.57,230.49,1,3496.54,7.83,39184.05,7.87,0,0,376.09,15.62,370.93,2.47,141.49,6.43,141.98,6.43,1,2576.27,17.60,0.80,5
6,21.63,146.21,1,3676.80,2.98,24855.46,2.97,0,0,957.80,14.24,368.14,2.43,153.06,2.54,153.40,2.59,1,4922.12,33.43,0.97,4
7,32.38,72.61,1,5504.04,11.07,12343.84,11.13,0,0,225.15,11.75,365.66,2.14,162.20,9.52,163.04,9.57,1,1816.19,8.43,0.71,4
8,42.89,162.42,1,7290.55,7.55,27611.15,6.08,0,0,311.49,9.49,362.08,1.81,189.76,6.56,151.91,5.15,1,1809.23,13.16,0.88,4
9,48.86,176.40,1,8306.55,8.27,29988.67,7.49,0,0,318.03,11.37,363.58,2.15,177.37,7.19,160.41,6.43,1,1528.21,9.24,0.84,4
10,51.92,74.44,1,8825.86,3.74,12655.20,3.73,0,0,758.38,12.99,371.89,2.44,167.81,3.27,166.95,3.22,1,6038.67,30.47,0.96,4
11,68.33,174.21,1,11615.99,3.47,29616.40,3.35,0,0,852.29,14.78,384.93,2.47,152.82,2.96,148.31,2.93,1,4033.33,33.03,0.96,5
12,71.15,71.38,1,12095.85,7.19,12134.89,7.51,0,0,364.68,12.55,361.66,2.30,160.55,6.29,167.21,6.48,1,2173.83,13.04,0.85,5
13,73.72,192.33,1,12532.35,5.55,32696.58,5.85,0,0,465.36,13.12,379.84,2.26,150.72,4.78,158.78,5.03,1,3276.79,22.52,0.90,4
14,86.22,190.73,1,14657.30,11.46,32424.06,10.65,0,0,438.69,25.01,386.11,4.12,154.11,9.96,142.88,9.16,1,4373.25,14.00,0.68,4
15,89.74,195.14,1,15255.38,15.89,33173.75,15.91,0,0,320.66,26.65,390.76,4.35,146.58,13.71,147.72,14.12,1,3349.17,8.00,0.51,4
16,93.51,7.71,1,15896.12,6.37,1310.81,6.78,0,0,311.64,9.79,358.50,1.75,154.41,5.39,165.13,5.86,1,2128.71,13.25,0.87,4
17,93.62,143.96,1,15915.60,4.19,24473.93,4.35,0,0,728.98,14.86,393.62,2.67,157.34,3.59,163.89,3.81,1,5460.17,30.28,0.94,4
18,99.19,94.41,1,16861.58,5.27,16050.30,5.82,0,0,471.01,12.21,378.10,2.24,156.07,4.61,172.20,5.03,1,3545.79,16.31,0.91,4
19,111.40,93.76,1,18938.26,8.54,15939.22,10.03,0,0,304.70,13.78,380.90,2.40,142.74,7.08,169.59,8.69,1,3028.79,12.93,0.77,4
20,114.04,81.74,1,19387.27,5.79,13895.59,5.68,0,0,481.05,10.91,387.17,2.42,196.18,5.06,192.61,4.96,0,5280.90,18.89,0.92,4
21,120.76,175.19,1,20528.73,2.95,29782.02,3.10,0,0,959.50,14.54,396.04,2.48,149.39,2.56,157.10,2.71,1,5350.31,34.83,0.97,5
22,126.90,103.49,1,21572.74,13.43,17593.55,11.34,0,0,193.16,8.01,379.96,2.14,249.55,11.82,210.68,9.98,0,2625.19,6.80,0.77,3
23,136.51,158.80,1,23206.99,3.73,26996.13,3.70,0,0,654.18,12.58,402.44,2.06,147.15,3.11,147.57,3.24,1,3275.58,19.89,0.95,5
24,137.57,41.76,1,23387.38,11.25,7098.51,14.62,0,0,213.32,12.42,371.98,2.34,146.60,9.41,192.12,12.69,1,667.94,6.68,0.67,5
25,7.84,247.26,2,1332.67,8.36,42034.37,8.71,0,0,381.09,16.08,425.08,2.78,152.42,7.35,158.32,7.54,1,2940.04,13.09,0.80,5
26,138.92,129.73,1,23616.99,4.04,22054.63,4.01,0,0,675.83,12.14,399.36,2.35,172.82,3.53,171.17,3.48,1,4695.60,23.63,0.95,4
27,139.61,50.48,1,23734.10,12.08,8581.65,10.88,0,0,209.27,7.60,372.19,2.19,256.96,10.68,231.50,9.62,0,2181.83,8.81,0.80,3
28,10.60,213.74,2,1801.75,6.89,36336.62,8.21,0,0,427.60,12.73,434.76,2.82,177.81,6.00,211.95,7.17,1,4381.52,14.99,0.88,4
29,152.10,112.15,1,25856.34,6.24,19066.19,7.27,0,0,627.30,21.60,416.86,3.63,141.15,5.69,162.82,6.34,1,1592.81,4.62,0.85,4
30,154.35,221.48,1,26239.19,6.97,37651.00,7.03,0,0,396.01,13.48,405.14,2.36,156.32,5.97,157.58,5.99,1,3695.52,17.76,0.86,4
31,13.51,102.87,2,2295.95,2.80,17487.34,2.76,0,0,1096.03,14.87,437.82,2.60,157.64,2.38,156.31,2.42,1,6376.58,40.88,0.97,4
32,16.49,188.70,2,2803.16,6.66,32078.25,7.38,0,0,354.15,11.01,432.83,2.14,164.05,5.73,182.09,6.41,1,2587.48,11.37,0.87,4
33,156.86,107.34,1,26666.26,12.05,18248.24,8.17,0,0,640.39,27.26,423.54,5.49,217.02,10.48,146.36,6.95,1,2777.83,5.82,0.78,4
34,160.37,200.69,1,27262.46,2.57,34117.44,2.57,0,0,1115.36,14.00,421.94,2.45,156.45,2.20,156.85,2.22,1,6919.08,39.10,0.98,5
35,17.16,121.23,2,2917.44,10.75,20609.25,9.35,0,0,306.67,12.01,438.00,2.70,210.87,9.39,183.47,8.17,1,2941.25,10.30,0.80,4
36,168.68,157.20,1,28675.38,3.80,26723.28,3.82,0,0,844.20,16.22,414.24,2.74,151.27,3.25,152.77,3.34,1,5727.02,37.60,0.95,4
37,18.43,6.42,2,3132.39,12.60,1090.66,12.92,0,0,218.81,11.54,424.55,2.43,183.51,10.96,188.21,11.25,1,0.00,0.00,0.70,4
38,169.40,53.29,1,28797.65,8.48,9059.46,11.14,0,0,265.90,12.97,387.73,2.17,127.67,6.63,173.81,9.63,1,568.02,8.93,0.74,4
39,21.20,231.49,2,3604.67,7.19,39353.50,6.55,0,0,430.96,13.05,444.28,2.55,182.13,6.25,165.73,5.64,1,5211.38,17.34,0.88,4
40,169.47,62.65,1,28810.73,6.13,10649.93,6.77,0,0,413.61,13.25,388.12,2.26,144.28,5.06,161.07,5.81,1,2803.35,18.40,0.87,4
41,170.14,81.34,1,28923.48,12.91,13828.10,15.39,0,0,226.33,10.77,386.26,2.87,209.09,11.37,249.21,13.54,0,2070.42,8.66,0.72,4
42,21.58,146.18,2,3669.30,3.19,24850.89,3.03,0,0,1084.47,17.06,452.04,2.87,154.99,2.71,148.10,2.67,1,7772.29,40.28,0.97,5
43,171.38,92.24,1,29134.88,6.30,15680.96,6.47,0,0,414.21,12.78,405.83,2.26,156.00,5.38,160.66,5.61,1,2642.67,15.11,0.88,4
44,25.10,206.73,2,4266.36,13.07,35143.56,11.57,0,0,263.33,14.66,455.35,2.79,180.16,11.38,159.32,10.03,1,1982.27,7.15,0.68,4
45,171.44,139.47,1,29144.72,5.38,23710.41,5.12,0,0,560.68,15.20,411.21,2.48,150.08,4.51,141.92,4.19,1,4337.67,20.47,0.90,4
46,41.94,238.32,2,7130.54,24.03,40514.98,16.88,0,0,170.61,12.05,434.14,3.06,261.81,21.13,184.04,14.82,1,1080.35,4.95,0.54,4
47,171.99,122.48,1,29237.58,8.78,20822.17,9.58,0,0,476.84,22.32,423.18,3.74,145.55,7.96,156.71,8.14,1,3093.92,14.55,0.76,5
48,51.93,74.42,2,8828.39,3.82,12651.75,4.22,0,0,827.72,15.18,446.52,2.86,160.48,3.37,176.43,3.65,1,5273.96,25.23,0.95,4
49,179.60,45.01,1,30532.83,3.76,7650.97,3.77,0,0,731.21,13.64,397.66,2.35,153.76,3.19,155.43,3.34,1,4004.75,18.48,0.95,4
50,181.73,100.04,1,30894.18,4.37,17007.47,4.09,0,0,652.07,12.49,413.20,2.38,175.10,3.79,164.30,3.59,1,4593.75,21.55,0.95,4
51,181.24,163.65,1,30811.22,9.05,27820.05,9.08,0,0,292.28,12.12,414.19,2.28,167.50,7.87,167.77,7.84,1,2499.40,13.36,0.80,4
52,182.27,118.29,1,30985.27,10.89,20108.49,13.90,0,0,299.00,13.20,407.43,3.27,189.90,9.55,242.28,12.18,1,1009.90,5.60,0.76,5
53,188.21,125.74,1,31996.30,4.02,21375.67,3.88,0,0,751.19,15.36,423.22,2.53,151.07,3.51,145.39,3.35,1,4425.88,17.40,0.94,4
54,191.19,94.50,1,32503.10,16.54,16064.21,14.94,0,0,338.36,22.50,423.88,4.62,190.91,14.41,172.34,12.94,1,-824.62,1.36,0.59,3
55,196.58,78.66,1,33419.35,6.86,13371.47,7.45,0,0,402.58,11.98,401.09,2.50,176.87,5.96,192.30,6.49,1,2808.19,13.10,0.88,4
56,197.00,96.82,1,33490.45,2.58,16459.32,2.64,0,0,1300.91,17.50,421.67,2.91,148.74,2.32,151.56,2.32,1,6239.25,14.52,0.97,4
57,200.57,25.61,1,34096.80,2.81,4354.49,3.26,0,0,1076.71,15.70,402.98,2.77,145.86,2.34,170.83,2.81,1,4810.40,18.21,0.97,5
58,209.07,6.58,1,35541.14,17.00,1117.91,11.96,0,0,200.07,11.20,389.48,2.50,233.36,14.84,163.94,10.35,1,1909.73,7.84,0.67,4
59,226.42,236.87,1,38491.25,12.39,40267.38,13.81,0,0,217.45,12.11,392.80,2.47,170.64,10.73,190.30,12.03,1,1558.92,8.56,0.68,5
60,57.76,151.94,2,9818.54,7.53,25830.09,7.84,0,0,399.71,11.70,447.31,2.71,197.78,6.58,205.83,6.85,0,3160.52,12.71,0.88,4
61,228.90,8.05,1,38912.25,5.02,1368.94,4.86,0,0,749.57,15.24,394.20,3.23,189.45,4.37,183.65,4.24,1,6229.17,19.49,0.94,4
62,8.55,219.94,3,1453.80,19.03,37390.25,28.75,0,0,170.77,10.28,425.60,3.73,246.49,17.10,365.96,26.77,1,2366.85,6.43,0.55,4
63,57.99,215.40,2,9857.94,11.73,36618.50,21.86,0,0,322.43,15.33,449.52,4.68,191.29,10.42,352.78,19.88,0,4930.83,9.71,0.70,4
64,229.13,76.05,1,38951.51,5.19,12927.75,5.02,0,0,486.16,11.71,398.20,2.13,165.59,4.53,160.54,4.42,1,2220.92,10.40,0.92,4
65,10.64,122.46,3,1808.89,11.12,20817.44,9.71,0,0,327.81,11.66,435.85,3.06,240.95,9.78,210.38,8.54,0,5022.06,11.35,0.82,4
66,12.23,63.19,3,2078.59,23.05,10741.74,18.03,0,0,187.19,10.02,417.19,3.59,333.31,20.97,262.44,16.19,0,2607.31,7.45,0.61,4
67,229.62,133.57,1,39035.04,12.66,22707.15,11.49,0,0,243.11,16.27,411.24,2.40,141.33,10.46,122.29,8.57,1,117.23,10.03,0.61,5
68,67.90,42.39,2,11542.24,13.96,7206.80,15.62,0,0,263.52,14.42,436.42,3.44,196.33,12.23,219.57,13.67,0,2787.77,11.78,0.67,3
69,13.46,102.81,3,2288.09,2.98,17477.53,3.05,0,0,949.26,13.52,432.32,2.45,160.05,2.55,163.99,2.65,1,6026.62,35.48,0.97,4
70,249.70,46.25,1,42449.66,7.54,7862.09,8.99,0,0,317.74,11.56,407.49,2.26,158.94,6.53,189.65,7.82,1,0.00,0.00,0.83,4
71,16.69,6.50,3,2837.60,13.72,1105.03,13.61,0,0,240.73,11.23,413.09,2.96,226.64,12.07,224.83,11.97,0,1990.06,8.52,0.73,3
72,17.47,189.10,3,2969.06,5.96,32146.88,5.48,0,0,557.38,14.46,430.33,2.75,176.38,5.16,162.32,4.81,1,3254.42,16.74,0.91,4
73,21.61,146.15,3,3673.55,2.98,24845.23,3.01,0,0,1137.74,17.41,448.62,2.90,148.18,2.51,151.14,2.65,1,6318.08,35.60,0.97,5
74,68.27,174.19,2,11605.08,2.77,29611.58,2.74,0,0,1071.50,15.16,469.17,2.52,149.84,2.39,149.11,2.41,1,4875.44,29.60,0.97,5
75,70.90,71.29,2,12053.32,9.12,12118.83,9.12,0,0,369.18,15.92,454.45,2.89,162.51,7.99,162.14,7.89,1,1229.88,9.74,0.79,4
76,73.71,192.39,2,12531.33,5.60,32706.17,5.23,0,0,593.99,16.75,461.34,2.71,151.33,4.81,139.59,4.30,1,2926.85,16.41,0.90,5
77,74.80,215.66,2,12715.29,6.90,36662.27,6.75,0,0,521.14,18.86,458.22,3.01,146.21,6.04,141.60,5.66,1,2879.71,19.91,0.84,5
78,23.58,207.55,3,4008.66,8.02,35283.66,7.96,0,0,370.00,12.35,437.44,2.57,184.47,6.98,182.99,6.92,1,2041.75,12.81,0.85,4
79,86.34,190.26,2,14677.86,10.44,32344.15,9.20,0,0,516.07,24.60,468.66,4.32,167.74,9.01,147.80,7.95,1,4424.21,10.56,0.75,4
80,43.25,162.87,3,7352.69,7.94,27687.85,8.22,0,0,324.77,12.69,434.19,2.25,155.91,6.88,161.70,7.19,1,2318.73,10.99,0.82,4
81,49.32,177.47,3,8384.48,16.59,30169.62,13.14,0,0,230.99,15.38,446.37,2.93,190.73,14.40,150.03,11.06,1,2592.15,8.91,0.60,5
82,89.73,195.33,2,15254.60,10.81,33205.48,10.37,0,0,391.26,21.26,472.62,3.52,152.16,9.33,145.30,8.79,1,2522.35,4.69,0.70,4
83,51.90,75.02,3,8823.19,6.52,12754.12,8.53,0,0,470.77,14.32,439.46,3.07,165.04,5.73,215.60,7.44,1,4235.88,15.65,0.87,4
84,93.65,144.02,2,15919.88,2.67,24484.04,2.79,0,0,1092.03,15.02,466.70,2.54,147.75,2.26,156.24,2.47,1,6182.96,38.02,0.97,4
85,57.04,151.42,3,9697.17,6.82,25740.60,6.77,0,0,441.45,13.44,440.57,2.59,172.11,5.96,170.44,5.85,1,2723.25,12.62,0.88,4
86,57.30,217.17,3,9740.44,25.25,36918.44,23.00,0,0,257.05,38.49,492.72,5.24,128.18,21.02,121.67,21.70,1,2880.25,5.62,0.26,5
87,59.68,213.85,3,10145.90,22.12,36354.55,19.71,0,0,262.12,27.05,473.92,4.69,164.45,19.09,147.37,17.49,1,3610.23,8.93,0.40,5
88,68.30,174.25,3,11611.65,3.65,29622.31,3.66,0,0,852.00,15.46,472.36,2.66,154.07,3.14,154.71,3.17,1,5691.00,21.97,0.95,4
89,73.71,192.35,3,12531.06,5.56,32699.74,5.80,0,0,575.66,15.29,457.38,2.80,160.27,4.80,167.25,5.01,1,3216.96,13.72,0.91,4
90,74.83,215.70,3,12721.26,8.53,36669.35,6.37,0,0,418.04,14.91,456.06,2.63,183.06,7.40,135.59,5.38,1,2458.98,14.41,0.84,4
91,79.99,49.51,3,13598.71,9.93,8417.20,10.12,0,0,376.66,14.42,458.25,3.33,199.35,8.68,203.23,8.85,0,5380.60,10.51,0.81,4
92,89.74,195.32,3,15255.44,7.90,33204.86,6.37,0,0,409.72,13.98,464.11,2.48,177.05,6.84,141.88,5.38,1,586.33,7.66,0.85,4
93,93.66,143.98,3,15922.38,3.02,24476.09,3.03,0,0,1080.02,16.70,475.35,2.78,148.98,2.56,151.15,2.70,1,6947.94,31.10,0.97,4
94,99.09,94.39,3,16846.07,5.88,16046.38,6.16,0,0,566.94,15.76,449.13,2.93,162.51,5.15,169.90,5.32,1,3682.31,14.04,0.90,4
95,99.24,94.42,2,16871.33,5.16,16052.25,5.60,0,0,669.13,17.91,459.64,3.07,147.80,4.48,159.91,4.79,1,2594.60,18.58,0.91,4
96,111.27,93.66,2,18915.91,7.82,15921.73,6.18,0,0,460.94,16.08,460.70,2.71,171.15,6.77,132.83,5.07,1,2436.00,12.36,0.85,4
97,111.34,93.77,3,18928.34,6.84,15940.25,7.46,0,0,396.41,13.25,453.50,2.43,156.50,5.87,171.13,6.48,1,2136.00,10.74,0.86,4
98,113.84,81.40,2,19353.12,8.39,13837.55,8.17,0,0,469.21,17.80,483.68,3.34,169.61,7.31,164.93,7.04,1,4297.77,14.44,0.82,4
99,112.82,62.49,3,19179.16,9.69,10623.74,9.71,0,0,269.57,10.55,449.02,2.28,190.10,8.45,190.53,8.46,1,1636.27,8.14,0.81,4
100,120.77,175.18,2,20531.33,3.11,29780.03,2.84,0,0,1172.93,18.34,486.86,2.97,152.71,2.70,140.40,2.53,1,7199.21,40.39,0.97,5
101,120.75,175.17,3,20526.74,2.91,29779.18,2.89,0,0,1125.02,17.38,482.86,2.78,144.70,2.52,144.10,2.56,1,6337.52,33.33,0.97,5
102,136.62,158.91,2,23224.59,4.43,27015.24,4.43,0,0,738.21,16.77,488.97,2.79,148.55,3.73,150.32,3.94,1,4917.54,24.86,0.93,4
103,121.30,145.12,3,20620.33,22.50,24670.22,34.14,0,0,135.40,10.51,466.37,3.46,224.97,20.08,338.47,31.03,0,1497.73,4.81,0.45,4
104,136.58,158.91,3,23218.85,4.15,27015.12,3.77,0,0,846.05,17.74,487.55,2.85,151.09,3.50,140.03,3.45,1,6708.94,23.44,0.94,4
105,150.47,140.47,3,25579.39,9.44,23879.54,9.66,0,0,331.53,15.52,479.62,2.69,153.34,7.98,157.11,8.21,1,2938.40,10.27,0.76,5
106,153.31,102.88,3,26062.79,5.46,17489.11,5.62,0,0,628.36,15.04,487.48,3.01,175.01,4.74,180.14,4.90,1,4668.52,20.82,0.92,4
107,160.42,200.72,3,27271.47,2.49,34121.84,2.49,0,0,1320.91,15.51,515.65,2.82,162.33,2.14,162.51,2.16,1,9879.79,40.53,0.98,5
108,168.66,157.29,3,28672.84,3.47,26738.99,3.79,0,0,786.26,14.81,489.18,2.41,139.29,2.90,153.54,3.26,1,4195.31,23.76,0.95,5
109,169.52,62.65,3,28818.50,6.39,10650.69,6.47,0,0,487.03,16.38,475.16,2.63,142.83,5.24,145.57,5.45,1,2927.35,19.09,0.86,4
110,170.01,81.14,3,28901.49,10.27,13794.23,17.17,0,0,279.89,13.59,471.61,3.29,163.23,9.11,272.30,15.07,1,3566.73,7.89,0.72,4
111,171.85,122.49,3,29214.39,11.61,20823.07,10.82,0,0,621.07,37.98,507.09,5.81,145.45,10.30,129.82,8.36,1,3693.17,19.32,0.65,4
112,179.60,44.95,3,30532.07,3.75,7641.83,3.96,0,0,793.59,15.43,474.66,2.60,146.67,3.14,156.58,3.50,1,6005.10,27.88,0.95,4
113,180.39,100.76,3,30665.97,4.61,17128.56,5.12,0,0,725.18,16.20,488.03,3.03,157.75,3.95,175.68,4.45,1,4262.02,25.59,0.93,4
114,181.19,163.46,3,30802.39,8.65,27787.97,8.52,0,0,377.59,15.01,505.87,2.78,166.78,7.53,163.98,7.32,1,3508.38,11.90,0.81,4
115,188.28,125.68,3,32008.02,7.00,21366.04,7.22,0,0,528.60,17.42,508.90,3.23,162.71,6.06,167.93,6.25,1,3609.12,13.01,0.86,4
116,191.87,94.32,3,32617.82,8.75,16034.04,8.51,0,0,614.23,23.28,515.40,4.58,177.31,7.63,172.26,7.38,1,10244.58,8.60,0.82,4
117,194.80,51.70,3,33115.69,12.86,8788.42,13.22,0,0,277.76,14.45,468.99,3.17,190.05,11.23,195.23,11.53,1,2170.92,7.86,0.70,4
118,196.96,96.77,3,33483.23,3.85,16451.74,3.88,0,0,1234.34,24.29,513.89,4.08,151.11,3.43,151.58,3.38,1,4255.73,9.34,0.95,4
119,200.56,25.72,3,34095.35,3.80,4372.83,4.15,0,0,907.14,17.90,477.99,3.06,145.64,3.16,160.74,3.59,1,4954.48,12.58,0.95,4
120,201.20,176.84,3,34203.55,5.04,30062.18,5.32,0,0,637.54,16.01,505.75,2.83,154.19,4.40,162.70,4.64,1,4385.44,16.74,0.92,4
121,229.69,6.15,3,39046.72,15.66,1046.18,42.03,0,0,283.38,15.69,466.82,6.07,220.95,14.09,505.20,43.50,1,0.00,0.00,0.60,5
122,229.62,77.86,3,39034.92,6.14,13235.78,6.44,0,0,502.54,15.66,479.22,2.69,150.10,5.19,158.55,5.64,1,2794.38,17.27,0.88,4
123,138.69,129.57,2,23577.35,3.74,22026.78,3.88,0,0,937.42,17.23,483.91,3.05,155.48,3.21,161.25,3.32,1,6275.92,42.00,0.95,5
124,229.60,133.80,3,39032.03,8.38,22745.27,9.72,0,0,350.06,17.22,500.85,2.62,122.87,6.36,150.34,8.47,1,1209.10,10.75,0.75,5
125,240.00,9.66,3,40799.55,6.01,1642.94,6.45,0,0,508.31,16.33,474.30,2.71,145.23,5.46,153.87,5.51,1,1835.77,14.21,0.87,4
126,150.38,140.59,2,25564.56,9.17,23900.00,8.66,0,0,365.28,14.48,478.91,2.81,177.29,7.95,167.27,7.47,1,2417.69,10.87,0.81,4
127,154.64,106.15,2,26288.73,13.02,18045.99,10.76,0,0,331.43,13.61,494.73,3.51,244.29,11.44,201.77,9.46,0,2489.81,3.37,0.78,4
128,7.33,58.48,5,1245.27,9.08,9941.98,10.59,0,0,333.54,13.75,439.68,2.84,169.03,7.88,197.22,9.22,1,3940.98,12.29,0.79,4
129,154.44,221.48,2,26254.12,5.13,37651.15,4.84,0,0,585.78,14.96,482.22,2.46,152.20,4.32,142.38,3.96,1,3368.33,18.77,0.91,5
130,9.82,125.16,5,1668.75,7.18,21277.29,6.79,0,0,467.44,13.59,438.67,2.84,189.68,6.26,179.48,5.93,1,4880.60,17.20,0.88,4
131,160.42,200.67,2,27270.98,2.75,34113.20,2.80,0,0,1451.00,20.19,514.01,3.42,150.28,2.32,153.35,2.39,1,9496.27,40.00,0.97,5
132,9.80,220.62,5,1666.42,11.96,37505.61,14.89,0,0,278.37,11.98,437.74,3.37,214.37,10.56,266.94,13.14,0,4190.50,8.58,0.75,4
133,167.88,125.33,2,28539.75,20.09,21306.06,25.69,0,0,381.43,50.73,509.17,7.44,122.14,19.82,149.22,21.86,1,5240.50,17.51,0.31,5
134,13.49,102.79,5,2294.12,2.82,17474.21,3.11,0,0,1050.13,14.89,445.40,2.65,151.32,2.37,167.86,2.70,1,8533.44,42.86,0.97,4
135,168.61,157.12,2,28663.48,5.56,26710.29,6.19,0,0,545.04,15.26,489.56,2.73,151.26,4.71,169.39,5.39,1,3784.12,17.34,0.90,5
136,21.59,146.19,5,3670.26,2.66,24851.50,2.78,0,0,1161.85,16.63,449.68,2.67,139.77,2.18,148.88,2.44,1,7141.29,36.82,0.97,5
137,169.60,62.76,2,28832.11,5.48,10668.69,6.32,0,0,521.94,14.48,469.07,2.63,150.38,4.63,174.44,5.48,1,4406.81,15.52,0.90,4
138,43.35,209.83,5,7369.81,10.63,35671.08,17.80,0,0,272.54,14.09,459.58,3.30,157.77,9.20,264.61,15.58,1,2480.15,6.71,0.70,4
139,170.05,81.23,2,28908.78,7.63,13808.57,14.26,0,0,324.17,13.23,477.07,2.97,145.69,6.97,269.22,12.53,1,2436.75,8.88,0.79,4
140,7.54,26.12,4,1281.81,6.49,4440.11,8.00,0,0,452.38,13.42,412.92,2.84,167.89,5.62,207.05,6.97,1,3017.71,14.64,0.88,4
141,44.94,160.63,5,7640.13,10.14,27307.83,11.43,0,0,291.40,12.31,436.81,2.75,184.60,8.87,207.90,9.98,1,2979.81,9.87,0.78,4
142,171.85,122.47,2,29214.37,8.98,20820.05,10.01,0,0,552.37,25.42,504.61,4.49,150.36,7.94,166.73,8.61,1,4674.35,14.98,0.76,4
143,51.17,146.52,5,8698.46,5.86,24908.24,8.06,0,0,481.52,13.73,447.09,2.89,158.30,5.16,217.19,7.02,1,3045.60,9.92,0.89,4
144,179.53,44.99,2,30520.32,4.63,7647.74,4.67,0,0,783.97,17.92,478.26,3.11,154.47,3.92,157.04,4.12,1,5224.48,20.82,0.93,4
145,7.54,247.19,4,1281.63,18.22,42023.09,18.32,0,0,162.78,12.73,421.79,2.58,178.73,15.81,179.84,15.96,1,1106.98,5.50,0.52,4
146,52.21,74.92,5,8876.22,3.10,12736.16,3.34,0,0,966.94,14.92,452.13,2.67,154.28,2.70,166.54,2.92,1,7008.25,23.39,0.97,4
147,181.02,100.52,2,30772.66,3.94,17088.83,4.03,0,0,756.72,15.52,500.91,2.57,148.43,3.54,149.76,3.38,1,4114.04,20.87,0.94,4
148,8.84,123.99,4,1502.27,20.83,21078.68,17.86,0,0,206.77,10.40,428.34,3.77,321.35,18.90,276.56,16.08,0,3847.83,6.52,0.64,3
149,57.30,217.30,5,9741.00,10.10,36941.53,9.25,0,0,315.50,16.37,450.21,2.57,148.29,8.63,134.95,7.77,1,1487.35,9.15,0.73,5
150,180.09,118.39,2,30615.65,12.69,20126.42,14.10,0,0,294.45,17.78,504.62,3.40,161.67,11.15,179.29,12.23,1,1695.42,7.67,0.65,5
151,8.67,221.56,4,1473.49,3.65,37665.16,3.73,0,0,790.94,13.75,454.88,2.50,160.49,3.14,164.18,3.21,1,5989.85,27.97,0.96,5
152,181.24,163.53,2,30810.02,8.84,27799.66,8.22,0,0,380.97,13.96,499.86,2.81,185.10,7.69,172.05,7.12,1,2863.04,8.97,0.83,4
153,64.72,55.90,5,11001.94,14.62,9502.41,19.78,0,0,192.36,10.59,444.27,2.95,204.89,12.90,276.76,17.52,0,2113.56,6.18,0.65,5
154,9.93,59.90,4,1687.58,14.06,10183.78,17.13,0,0,182.50,10.21,428.03,2.52,193.51,12.34,235.75,15.02,0,3316.98,6.42,0.66,4
155,66.85,74.42,5,11365.06,25.56,12652.06,24.30,0,0,233.60,28.73,472.52,4.96,159.42,22.36,150.35,20.47,1,4580.42,6.36,0.31,4
156,188.39,125.76,2,32027.11,6.21,21379.12,5.77,0,0,557.59,15.64,493.64,2.87,169.73,5.37,157.70,5.01,1,3499.54,18.47,0.90,5
157,10.81,161.60,4,1837.94,8.75,27472.34,11.40,0,0,300.95,12.92,435.03,2.61,156.72,7.67,203.83,9.92,1,2718.85,10.62,0.78,5
158,70.67,71.90,5,12013.97,31.57,12222.24,23.25,0,0,207.94,17.11,469.44,5.16,296.29,28.06,218.48,20.62,0,5118.46,5.22,0.44,3
159,192.65,94.47,2,32749.89,18.39,16060.10,19.20,0,0,1071.35,107.85,571.36,16.86,137.14,15.17,143.27,15.77,1,14836.38,37.39,0.41,4
160,73.68,192.35,5,12525.16,5.51,32699.02,5.31,0,0,568.20,14.90,449.08,2.62,160.56,4.74,154.46,4.54,1,3223.19,15.07,0.91,4
161,13.51,102.76,4,2296.20,3.45,17469.73,3.55,0,0,1012.25,16.50,439.93,3.04,161.68,2.95,167.00,3.08,1,6622.62,29.29,0.96,4
162,197.03,96.84,2,33494.30,5.91,16461.98,6.24,0,0,1694.87,55.44,538.32,8.82,141.26,5.44,147.63,5.51,1,11133.54,14.19,0.87,4
163,200.50,25.62,2,34084.50,5.40,4354.82,5.77,0,0,549.62,13.33,470.02,2.65,170.63,4.67,182.40,5.01,1,369.58,4.40,0.92,4
164,89.74,195.48,5,15256.56,7.73,33232.32,7.79,0,0,427.88,15.80,454.20,2.84,160.26,6.70,161.08,6.66,1,3252.88,18.20,0.84,5
165,21.61,146.30,4,3673.24,2.77,24870.90,2.83,0,0,1061.49,14.58,444.84,2.53,153.58,2.35,157.51,2.44,1,5969.38,32.76,0.97,5
166,228.91,77.39,2,38915.14,4.47,13157.09,4.58,0,0,699.75,14.42,490.73,2.73,166.53,3.91,170.36,3.96,1,5368.77,16.99,0.94,4
