 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit
5452,157.21,66.25,585,26726.14,3.79,11262.37,3.62,0,0,945.59,15.81,461.68,3.02,173.70,3.29,166.15,3.15,1,7112.04,28.47,0.96,4
5453,215.30,66.91,585,36600.43,9.42,11375.33,9.78,0,0,310.47,14.57,464.31,2.55,153.81,8.11,160.19,8.59,1,1554.69,9.80,0.76,4
5454,244.75,174.74,585,41606.88,15.19,29706.32,14.51,0,0,237.07,17.02,490.33,3.01,162.16,13.17,154.83,12.56,1,1508.62,6.66,0.57,4
5455,89.99,195.43,586,15299.04,7.34,33222.37,7.59,0,0,371.02,12.50,443.40,2.39,167.38,6.43,172.68,6.56,1,2296.73,12.86,0.85,4
5456,95.26,176.73,586,16194.14,7.25,30044.45,6.60,0,0,435.04,14.49,442.80,2.58,166.77,6.28,151.87,5.71,1,1631.23,14.04,0.86,4
5457,146.62,89.81,586,24925.91,8.30,15268.48,9.50,0,0,303.35,11.48,452.77,2.34,168.19,7.18,192.73,8.27,1,2577.35,9.43,0.82,4
5458,148.34,6.27,586,25218.01,9.83,1066.21,10.29,0,0,310.58,15.84,434.50,2.65,146.58,8.32,154.17,8.88,1,0.00,0.00,0.73,5
5459,156.18,66.41,586,26550.84,11.25,11290.43,11.06,0,0,265.46,12.91,456.46,2.56,177.67,9.80,174.42,9.58,1,1364.65,7.27,0.74,4
5460,215.03,66.86,586,36555.91,7.20,11366.62,7.07,0,0,438.76,14.96,466.46,2.69,162.60,6.33,159.47,6.19,1,2479.31,13.63,0.85,4
5461,226.71,52.09,586,38540.30,8.77,8854.72,8.58,0,0,349.13,15.29,465.48,2.59,153.56,7.55,151.18,7.63,1,1231.92,7.20,0.78,4
5462,20.05,251.07,587,3408.03,3.96,42681.25,3.73,0,0,830.84,16.18,427.14,2.74,157.13,3.50,148.36,3.34,1,0.00,0.00,0.95,4
5463,28.99,87.81,587,4928.41,20.94,14928.17,14.83,0,0,164.20,9.29,417.00,2.62,285.23,18.56,202.33,13.10,0,1875.77,5.64,0.63,4
5464,45.48,211.11,587,7731.57,4.67,35888.25,4.84,0,0,579.92,12.64,435.45,2.37,164.11,4.01,170.58,4.23,1,4176.31,19.21,0.93,4
5465,90.09,195.44,587,15314.56,7.34,33223.99,8.50,0,0,393.09,15.79,444.38,2.66,142.11,6.68,162.45,7.28,1,2120.12,11.08,0.81,4
5466,143.48,90.70,587,24391.65,4.16,15418.39,3.95,0,0,683.99,13.54,465.41,2.36,160.61,3.56,152.31,3.39,1,3758.73,23.38,0.95,4
5467,148.21,6.40,587,25196.27,7.81,1088.44,8.62,0,0,334.26,13.72,431.26,2.34,146.15,6.83,160.57,7.38,1,0.00,0.00,0.80,4
5468,195.50,28.50,587,33234.23,18.27,4844.46,18.52,0,0,179.22,15.89,442.82,2.81,156.99,15.54,159.27,15.80,1,73.88,6.72,0.47,5
5469,226.69,52.08,587,38537.62,6.42,8854.45,6.46,0,0,461.15,13.69,466.13,2.55,165.69,5.55,167.18,5.65,1,1863.29,11.21,0.88,4
5470,45.98,211.34,588,7816.51,14.01,35927.90,9.58,0,0,299.18,13.43,434.64,3.04,239.89,12.24,163.81,8.32,1,2575.75,9.56,0.76,4
5471,215.26,66.89,588,36593.49,9.16,11370.90,11.74,0,0,288.53,15.25,466.88,2.55,132.60,7.90,170.50,10.22,1,2429.71,7.67,0.72,4
5472,226.71,52.25,588,38540.87,5.01,8881.97,5.41,0,0,604.44,17.41,466.39,2.65,131.95,4.23,143.54,4.68,1,1525.77,14.64,0.90,5
5473,20.06,251.06,589,3410.55,4.53,42680.09,4.56,0,0,632.67,14.22,430.18,2.47,155.52,4.01,156.66,4.03,1,0.00,0.00,0.93,4
5474,47.35,212.08,589,8049.28,11.11,36054.01,13.70,0,0,228.54,10.45,434.02,2.49,186.94,9.72,230.54,11.99,1,3050.42,9.30,0.74,4
5475,89.95,195.40,589,15290.80,8.73,33217.48,9.66,0,0,341.75,14.43,453.30,2.70,159.19,7.70,175.55,8.36,1,3617.73,12.63,0.79,5
5476,226.73,52.21,589,38544.72,12.96,8876.05,10.84,0,0,240.92,11.94,465.29,2.48,200.76,11.29,168.02,9.46,1,1157.96,8.58,0.73,4
5477,46.35,212.96,590,7878.76,6.94,36203.49,6.93,0,0,505.73,14.94,437.66,3.04,180.41,6.04,180.14,6.05,1,3297.90,16.57,0.88,4
5478,89.90,195.39,590,15283.76,6.45,33216.01,6.27,0,0,478.83,17.53,447.18,2.55,136.97,5.95,126.10,4.88,1,2601.15,14.26,0.84,5
5479,195.49,28.57,590,33233.06,18.24,4857.06,16.24,0,0,160.60,11.54,444.50,2.40,194.81,15.88,173.38,14.09,1,971.35,5.29,0.56,4
5480,45.47,213.22,591,7730.68,5.70,36246.86,5.32,0,0,610.43,16.22,442.86,2.87,164.03,4.89,153.45,4.63,1,4237.73,21.34,0.91,5
5481,244.58,174.76,591,41578.26,13.02,29708.90,15.49,0,0,209.65,12.42,488.02,2.59,168.55,11.27,200.67,13.49,1,2323.73,8.95,0.65,4
5482,28.97,251.18,592,4924.50,7.49,42700.76,6.79,0,0,469.31,13.54,420.89,2.92,199.31,6.53,180.85,5.93,1,0.00,0.00,0.88,4
5483,95.14,176.70,592,16174.43,11.09,30038.78,9.37,0,0,273.79,12.24,444.69,2.41,190.49,9.65,160.74,8.11,1,2333.96,10.69,0.77,4
5484,148.26,6.27,592,25204.24,9.14,1066.48,9.47,0,0,283.37,12.28,433.96,2.27,161.75,7.93,167.53,8.21,1,0.00,0.00,0.78,5
5485,173.52,56.85,592,29498.98,8.53,9663.71,7.15,0,0,489.38,16.51,470.21,3.31,194.26,7.42,163.00,6.27,1,4705.33,14.93,0.85,4
5486,195.69,28.85,592,33267.29,14.22,4904.29,16.64,0,0,180.01,10.77,437.56,2.43,182.76,12.42,213.82,14.53,1,1363.40,6.76,0.64,4
5487,89.92,195.28,593,15287.05,9.06,33197.10,8.47,0,0,359.30,15.10,451.76,2.70,165.65,7.93,154.47,7.32,1,3332.77,9.67,0.79,4
5488,171.20,58.35,593,29103.41,20.40,9919.06,19.14,0,0,218.73,9.17,439.64,4.17,378.15,19.42,357.74,17.94,1,5147.77,8.39,0.64,3
5489,195.59,28.68,593,33249.98,13.67,4875.53,16.22,0,0,200.44,15.39,447.36,2.50,131.80,10.84,160.56,13.93,1,1244.67,6.47,0.54,5
5490,20.06,251.08,594,3410.07,3.30,42684.32,3.44,0,0,762.59,12.71,427.76,2.20,152.96,2.93,158.92,3.02,1,0.00,0.00,0.96,5
5491,90.02,195.47,594,15302.56,7.51,33230.50,7.59,0,0,399.84,15.16,446.97,2.58,152.78,6.69,152.68,6.40,1,2158.77,11.09,0.83,4
5492,20.07,251.10,595,3412.30,4.44,42687.65,4.39,0,0,763.05,16.64,431.91,2.89,156.88,3.92,155.39,3.88,1,0.00,0.00,0.94,4
5493,89.83,195.34,595,15271.27,5.62,33208.63,5.07,0,0,478.61,13.95,449.60,2.15,147.92,4.95,129.87,4.11,1,2107.62,11.98,0.89,5
5494,148.30,6.32,595,25210.38,9.16,1073.55,11.31,0,0,277.85,12.18,431.56,2.45,160.19,7.93,198.08,9.84,1,0.00,0.00,0.77,4
5495,89.93,195.36,596,15287.61,7.32,33211.21,7.20,0,0,340.30,11.50,448.16,2.12,166.37,6.41,163.19,6.20,1,3181.02,11.70,0.86,4
5496,95.37,176.60,596,16212.59,19.20,30021.77,14.17,0,0,160.16,11.13,437.01,2.29,211.91,16.71,155.88,12.13,1,-219.77,4.33,0.57,4
5497,195.63,28.35,596,33257.73,17.57,4820.02,20.83,0,0,173.28,14.51,444.98,2.86,160.63,15.13,190.77,18.10,1,106.65,5.84,0.50,5
5498,244.81,174.48,596,41617.68,21.31,29661.49,12.57,0,0,199.90,14.59,487.42,2.73,221.56,18.48,122.71,9.31,1,1233.96,6.52,0.57,6
5499,89.94,195.40,597,15289.42,7.92,33217.44,6.86,0,0,465.91,18.67,443.95,2.86,151.29,7.03,124.74,5.28,1,1726.54,14.16,0.82,5
5500,148.33,6.22,597,25216.42,9.73,1056.90,10.50,0,0,269.92,12.70,430.11,2.34,158.34,8.37,171.22,9.13,1,0.00,0.00,0.75,4
5501,89.97,195.42,598,15295.23,6.65,33221.17,6.05,0,0,470.47,16.15,444.13,2.50,148.95,5.96,130.27,4.75,1,3291.60,17.29,0.86,5
5502,148.35,6.44,598,25219.47,9.53,1094.07,10.98,0,0,265.62,12.40,432.90,2.34,156.00,8.17,180.13,9.51,1,0.00,0.00,0.75,4
5503,154.64,221.42,598,26288.55,7.93,37642.11,7.28,0,0,412.20,15.67,467.57,2.65,159.07,6.80,144.75,6.04,1,2358.98,16.86,0.83,4
5504,195.89,28.68,598,33301.86,19.33,4875.68,15.24,0,0,167.61,12.22,446.39,2.50,203.54,16.83,160.24,13.18,1,1917.77,6.13,0.55,5
5505,20.03,251.12,599,3405.58,3.86,42690.21,4.19,0,0,777.97,16.07,436.06,2.68,145.27,3.50,156.49,3.68,1,0.00,0.00,0.94,4
5506,71.60,149.38,599,12171.97,12.41,25395.25,12.37,0,0,305.40,17.30,443.53,3.25,167.76,10.71,167.23,10.68,1,3639.42,9.98,0.68,4
5507,89.88,195.41,599,15280.24,6.61,33219.26,6.43,0,0,445.81,15.18,450.97,2.46,149.36,5.87,142.99,5.33,1,2648.17,14.53,0.86,5
5508,148.10,6.21,599,25176.33,9.61,1055.42,11.99,0,0,283.45,15.77,437.02,2.62,135.70,8.95,166.20,10.41,1,0.00,0.00,0.70,5
5509,154.61,221.48,599,26283.17,5.51,37651.60,5.27,0,0,532.01,15.23,472.34,2.40,145.02,4.59,137.06,4.23,1,2781.92,19.57,0.89,5
5510,244.59,174.37,599,41580.82,13.36,29642.68,11.06,0,0,250.06,13.76,485.22,2.61,185.93,11.59,153.47,9.44,1,2261.54,8.19,0.69,4
5511,20.10,251.18,600,3416.22,4.57,42700.21,4.85,0,0,738.22,17.11,424.91,2.98,152.38,4.06,160.83,4.23,1,0.00,0.00,0.93,5
5512,77.39,150.85,600,13156.68,9.58,25645.29,10.31,0,0,318.07,14.48,438.80,2.72,161.04,8.23,173.64,8.98,1,2316.15,11.06,0.77,5
5513,148.41,6.19,600,25230.53,7.65,1053.13,8.28,0,0,316.20,12.63,435.73,2.14,145.15,6.37,158.77,7.21,1,0.00,0.00,0.81,4
5514,154.68,221.51,600,26295.34,8.08,37657.27,7.99,0,0,443.71,16.46,473.65,3.06,166.74,6.99,164.77,6.87,1,3212.25,18.68,0.83,4
5515,244.54,174.72,600,41572.20,13.39,29701.91,13.68,0,0,247.59,16.35,492.46,2.86,154.42,11.34,158.41,11.81,1,1608.73,7.08,0.62,5
5516,20.12,251.12,601,3419.71,3.51,42689.56,3.34,0,0,826.58,14.01,423.82,2.42,159.32,3.08,151.91,2.95,1,0.00,0.00,0.96,4
5517,89.89,195.41,601,15280.72,6.63,33218.85,7.72,0,0,386.23,12.58,441.87,2.38,156.85,5.85,181.90,6.69,1,2205.15,12.72,0.86,5
5518,147.90,70.66,601,25142.57,18.14,12012.51,17.40,0,0,166.62,9.46,447.75,2.69,246.64,16.03,236.54,15.37,0,2740.65,5.78,0.63,3
5519,154.75,221.58,601,26307.38,5.55,37667.97,5.45,0,0,521.09,13.98,473.40,2.45,158.44,4.81,154.76,4.63,1,3903.67,17.64,0.91,4
5520,195.53,28.61,601,33239.32,15.57,4863.56,21.90,0,0,153.62,12.04,449.53,2.45,151.28,13.16,214.05,19.05,1,1351.85,4.94,0.52,4
5521,20.07,251.11,602,3411.32,2.93,42689.20,3.07,0,0,903.19,13.78,428.51,2.32,148.77,2.63,155.36,2.71,1,0.00,0.00,0.97,5
5522,28.60,249.59,602,4862.02,8.34,42430.34,7.43,0,0,331.21,12.23,428.96,2.23,172.78,7.20,153.43,6.31,1,0.00,0.00,0.83,4
5523,89.89,195.29,602,15281.77,8.66,33199.13,8.13,0,0,399.82,18.39,452.31,2.85,145.67,7.76,134.70,6.88,1,1569.62,12.63,0.77,4
5524,148.25,6.35,602,25202.90,8.31,1079.14,10.93,0,0,302.18,13.03,434.76,2.48,147.81,7.22,194.49,9.50,1,0.00,0.00,0.78,4
5525,226.66,52.36,602,38532.76,13.55,8901.25,19.71,0,0,194.96,13.78,469.80,2.75,146.22,11.53,213.75,17.14,1,762.06,6.23,0.57,4
5526,244.49,174.56,602,41562.92,17.27,29674.38,12.03,0,0,213.42,13.08,492.61,2.66,215.82,15.03,149.31,10.14,1,1752.75,12.02,0.64,5
5527,20.03,251.09,603,3405.84,3.95,42685.52,3.68,0,0,863.41,16.30,427.00,2.82,161.19,3.47,150.70,3.28,1,0.00,0.00,0.95,4
5528,89.98,195.28,603,15296.51,6.68,33197.03,6.84,0,0,396.44,14.14,449.08,2.29,145.49,6.06,147.20,5.88,1,1475.75,11.10,0.85,5
5529,226.63,52.23,603,38527.12,10.34,8879.20,11.43,0,0,274.20,14.27,474.84,2.55,151.54,8.79,168.28,9.92,1,1774.06,7.92,0.72,5
5530,244.57,174.73,603,41576.37,10.99,29704.07,13.21,0,0,250.62,13.54,486.31,2.60,155.25,9.36,187.33,11.48,1,1317.90,8.61,0.70,4
5531,20.04,251.04,604,3405.97,2.87,42676.94,3.01,0,0,945.22,14.20,428.19,2.38,148.44,2.58,154.70,2.66,1,0.00,0.00,0.97,4
5532,55.75,160.28,604,9477.42,12.91,27247.05,12.11,0,0,211.97,13.29,423.96,2.26,157.71,11.18,147.72,10.42,1,1781.71,6.98,0.64,4
5533,89.89,195.19,604,15281.95,7.20,33182.91,8.09,0,0,461.62,19.79,448.72,3.02,132.58,6.76,146.22,7.11,1,4061.81,13.27,0.80,5
5534,151.36,140.81,604,25731.20,19.70,23937.61,28.33,0,0,132.69,12.04,452.93,2.75,166.65,17.12,239.91,24.76,1,-125.77,4.94,0.43,5
5535,221.33,77.14,604,37626.60,27.74,13114.32,17.49,0,0,237.64,10.61,454.08,4.83,453.22,28.36,309.05,16.09,1,6324.40,12.94,0.63,4
5536,229.76,198.96,604,39058.47,3.65,33823.11,3.57,0,0,1014.99,15.99,498.78,3.17,177.83,3.17,174.00,3.12,1,7752.58,32.50,0.96,4
5537,250.83,158.07,604,42641.28,9.05,26871.45,9.98,0,0,337.43,13.84,491.03,2.78,169.61,7.90,186.93,8.70,1,0.00,0.00,0.80,4
5538,89.90,195.36,605,15282.38,6.72,33211.17,6.83,0,0,448.05,16.43,447.72,2.58,142.00,6.09,141.55,5.70,1,3137.31,13.35,0.84,5
5539,227.68,193.16,605,38705.40,8.31,32837.26,7.25,0,0,401.56,14.22,501.94,2.69,180.08,7.21,157.35,6.36,1,2594.23,4.69,0.84,4
5540,230.20,199.27,605,39134.24,7.64,33876.05,8.81,0,0,419.59,15.55,497.55,2.97,158.51,6.68,182.48,7.65,1,-147.25,4.72,0.83,4
5541,244.47,174.74,605,41559.09,8.74,29706.21,9.06,0,0,310.12,15.79,490.90,2.26,121.47,6.41,134.30,7.77,1,787.52,11.33,0.74,5
5542,246.23,162.35,605,41859.23,11.39,27600.21,13.62,0,0,473.29,30.29,519.86,5.02,136.69,9.96,163.00,11.71,1,3173.21,4.93,0.63,4
5543,250.17,157.38,605,42529.54,7.54,26753.91,7.30,0,0,653.81,24.34,523.05,4.13,155.47,6.60,149.32,6.17,1,0.00,0.00,0.83,4
5544,20.10,251.07,606,3417.25,3.21,42682.33,3.09,0,0,1011.03,17.42,433.36,2.73,145.00,2.89,140.34,2.83,1,0.00,0.00,0.96,5
5545,29.78,247.83,606,5063.21,8.00,42131.47,8.25,0,0,415.88,15.60,435.20,2.91,163.78,6.96,168.78,7.19,1,3234.33,13.39,0.83,4
5546,40.81,232.09,606,6938.35,5.18,39454.56,5.13,0,0,525.75,12.89,432.43,2.33,162.30,4.52,161.04,4.51,1,3600.50,16.59,0.92,4
5547,89.81,195.28,606,15267.68,7.56,33197.68,6.15,0,0,455.34,17.62,451.16,2.60,149.96,6.61,119.03,5.11,1,3120.60,14.91,0.83,5
5548,99.29,72.77,606,16879.18,11.45,12370.48,19.19,0,0,213.36,8.45,441.15,2.92,225.12,10.26,370.85,17.81,1,2246.79,4.18,0.75,5
5549,123.70,63.04,606,21029.80,16.95,10716.75,12.12,0,0,266.33,13.40,458.61,3.40,259.36,14.94,185.75,10.66,1,3645.75,12.80,0.71,5
5550,20.08,251.12,607,3412.75,3.51,42689.93,3.41,0,0,974.14,17.26,437.22,2.88,152.91,3.11,148.75,3.03,1,0.00,0.00,0.96,5
5551,29.82,247.72,607,5069.94,5.23,42111.80,5.73,0,0,472.16,12.31,430.96,2.22,154.21,4.59,168.70,4.97,1,2850.81,15.44,0.91,4
5552,89.91,195.28,607,15283.90,5.46,33197.50,5.71,0,0,471.23,14.15,450.43,2.24,141.60,4.97,145.86,4.90,1,3113.42,16.02,0.89,5
5553,97.00,72.19,607,16490.70,7.82,12273.04,8.25,0,0,393.96,14.01,455.13,2.74,169.01,6.85,178.15,7.18,1,3469.04,12.26,0.84,4
5554,244.58,174.62,607,41579.01,17.33,29684.83,15.07,0,0,193.40,14.07,487.06,2.69,182.59,15.03,158.44,12.93,1,2151.40,6.85,0.56,4
5555,29.71,247.62,608,5050.21,6.26,42095.67,6.19,0,0,478.96,14.15,429.00,2.55,162.27,5.41,160.30,5.31,1,3866.50,17.38,0.89,4
5556,42.73,238.28,608,7264.23,17.64,40507.88,14.62,0,0,168.76,6.75,415.13,2.58,342.15,16.18,285.68,13.21,0,1443.25,6.20,0.72,3
5557,96.98,72.10,608,16487.13,3.64,12256.78,4.18,0,0,762.51,12.56,436.99,2.58,169.97,3.19,194.69,3.64,1,5422.90,23.17,0.96,4
5558,193.73,76.04,608,32933.45,13.17,12926.62,18.16,0,0,197.86,11.20,489.09,2.71,178.99,11.53,246.77,15.91,1,1766.10,4.19,0.65,4
